Threshold,Metric,NPVR
0.05,degree,0.117434789749695
0.1,degree,0.07507765764728318
0.2,degree,0.055814186132229195
0.3,degree,0.04689992898956552
0.4,degree,0.045210342269623255
0.5,degree,0.04393560432253216
0.05,betweeness,0.06265835458415575
0.1,betweeness,0.06927860455499234
0.2,betweeness,0.09732728877534887
0.3,betweeness,0.12473331682561842
0.4,betweeness,0.1765933916024167
0.5,betweeness,0.19277429190417825
0.05,eigenvec,0.168795738912578
0.1,eigenvec,0.10984621856915329
0.2,eigenvec,0.08308723453983259
0.3,eigenvec,0.07422265314414585
0.4,eigenvec,0.0732660945651253
0.5,eigenvec,0.0764850198454481
0.05,clusteringcoef,0.046062955871039486
0.1,clusteringcoef,0.04500219270775149
0.2,clusteringcoef,0.05435167982913769
0.3,clusteringcoef,0.0647762287635769
0.4,clusteringcoef,0.0917389556213501
0.5,clusteringcoef,0.12864569161740144
0.05,smallworldness,0.17698608059274487
0.1,smallworldness,0.10917013817457821
0.2,smallworldness,0.03925390192663244
0.3,smallworldness,0.030561319771983998
0.4,smallworldness,0.03548848413369181
0.5,smallworldness,0.039709150922799585
0.05,avg_shortestPathLength,0.03511381829668017
0.1,avg_shortestPathLength,0.03056354313589503
0.2,avg_shortestPathLength,0.03157544644196144
0.3,avg_shortestPathLength,0.02446431929543687
0.4,avg_shortestPathLength,0.030911906820772318
0.5,avg_shortestPathLength,0.033005170341468354
