Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,sigma_p,p_minus_alpha,flip_probability,significance
0.05,avg_shortestPathLength,0.039219040603392,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0272869282843899,0.5707230048851272,8.507883845568493e-169,non-significant
0.05,avg_shortestPathLength,0.039219040603392,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0186677411117959,0.2753086154260302,1.2887141231258789e-105,non-significant
0.05,avg_shortestPathLength,0.039219040603392,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0044593833669425,0.004625044962983091,0.14915234482086795,non-significant
0.05,avg_shortestPathLength,0.039219040603392,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0005317366741839,-0.044610035934348057,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,4.115775074673882e-05,-0.04961815436391625,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,2.579742370029086e-06,-0.049976703314532994,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.5285055602477857e-07,-0.049998605723123285,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0274177065886626,0.5692685675117714,9.000400916130566e-167,non-significant
0.05,avg_shortestPathLength,0.039219040603392,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0187914944205548,0.27212564510024434,7.63632672092993e-102,non-significant
0.05,avg_shortestPathLength,0.039219040603392,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0043748174363465,0.0009470687376932352,0.4244339925892486,non-significant
0.05,avg_shortestPathLength,0.039219040603392,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.000457377201598,-0.04579829681293176,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,2.6219865136873698e-05,-0.04979080975363597,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,1.0067893048405635e-06,-0.04999256678775277,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,3.071074154919389e-08,-0.049999781106051494,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0274833879552337,0.5685389578679418,9.130439948316301e-166,non-significant
0.05,avg_shortestPathLength,0.039219040603392,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.0188538880422234,0.2705260061237414,5.477693126855407e-100,non-significant
0.05,avg_shortestPathLength,0.039219040603392,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.004330000649202,-0.0008786171051448702,0.40921851879597215,significant
0.05,avg_shortestPathLength,0.039219040603392,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.0004204405157429,-0.04633692255886502,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,2.0079112929585542e-05,-0.04985282819677832,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,5.57593150853293e-07,-0.04999634208758953,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,75,two_sample_t_p_value,75.0,6.0,,6.480298590623212e-08,1.056925160608038e-08,-0.049999935197014095,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,100,two_sample_t_p_value,100.0,0.5,,0.6181735658308866,0.0275163011331983,0.5681735658308865,2.897999211842381e-165,non-significant
0.05,avg_shortestPathLength,0.039219040603392,100,two_sample_t_p_value,100.0,1.0,,0.31972415578412333,0.018885214975106,0.26972415578412334,4.558252858425254e-99,non-significant
0.05,avg_shortestPathLength,0.039219040603392,100,two_sample_t_p_value,100.0,2.0,,0.04821217873113365,0.0043069286217598,-0.0017878212688663547,0.33054380522422644,significant
0.05,avg_shortestPathLength,0.039219040603392,100,two_sample_t_p_value,100.0,3.0,,0.0034079153433294465,0.0004020806403438,-0.04659208465667056,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,100,two_sample_t_p_value,100.0,4.0,,0.00012152364430076177,1.73469390651847e-05,-0.04987847635569924,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,100,two_sample_t_p_value,100.0,5.0,,2.450173413503802e-06,3.9847002035074217e-07,-0.049997549826586496,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,100,two_sample_t_p_value,100.0,6.0,,3.172491502802852e-08,5.631660115675907e-09,-0.049999968275084974,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,300,two_sample_t_p_value,300.0,0.5,,0.617441622554225,0.0275822716653769,0.5674416225542249,2.8992091929306056e-164,non-significant
0.05,avg_shortestPathLength,0.039219040603392,300,two_sample_t_p_value,300.0,1.0,,0.31811640443062633,0.0189481303646262,0.26811640443062634,3.047190481506918e-97,non-significant
0.05,avg_shortestPathLength,0.039219040603392,300,two_sample_t_p_value,300.0,2.0,,0.0464015209831491,0.0042594116833029,-0.0035984790168509043,0.1966482867978604,significant
0.05,avg_shortestPathLength,0.039219040603392,300,two_sample_t_p_value,300.0,3.0,,0.0029262198640661076,0.0003656560786249,-0.0470737801359339,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,300,two_sample_t_p_value,300.0,4.0,,7.984004483719462e-05,1.2557928813037834e-05,-0.04992015995516281,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,300,two_sample_t_p_value,300.0,5.0,,9.769154730247779e-07,1.8339104431725654e-07,-0.04999902308452698,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,300,two_sample_t_p_value,300.0,6.0,,5.676439092359154e-09,1.2239472580968732e-09,-0.04999999432356091,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,500,two_sample_t_p_value,500.0,0.5,,0.6172950500946657,0.0275954887506832,0.5672950500946656,4.590173472644424e-164,non-significant
0.05,avg_shortestPathLength,0.039219040603392,500,two_sample_t_p_value,500.0,1.0,,0.3177942072606085,0.0189607554271127,0.2677942072606085,7.022199713863657e-97,non-significant
0.05,avg_shortestPathLength,0.039219040603392,500,two_sample_t_p_value,500.0,2.0,,0.046040682769031456,0.0042496834980497,-0.003959317230968547,0.17455930386384866,significant
0.05,avg_shortestPathLength,0.039219040603392,500,two_sample_t_p_value,500.0,3.0,,0.002834491812851143,0.0003584276383538,-0.04716550818714886,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,500,two_sample_t_p_value,500.0,4.0,,7.291606940371305e-05,1.17072719959539e-05,-0.04992708393059629,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,500,two_sample_t_p_value,500.0,5.0,,7.94641504790956e-07,1.539219167529241e-07,-0.04999920535849521,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,500,two_sample_t_p_value,500.0,6.0,,3.790442338479296e-09,8.53937622630342e-10,-0.04999999620955766,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,1000,two_sample_t_p_value,1000.0,0.5,,0.6171850808338747,0.0276054065756611,0.5671850808338746,6.477158295363432e-164,non-significant
0.05,avg_shortestPathLength,0.039219040603392,1000,two_sample_t_p_value,1000.0,1.0,,0.31755241808467255,0.0189702334327427,0.26755241808467256,1.3118023429035907e-96,non-significant
0.05,avg_shortestPathLength,0.039219040603392,1000,two_sample_t_p_value,1000.0,2.0,,0.04577034649325166,0.0042423372710586,-0.0042296535067483446,0.15909229230528477,significant
0.05,avg_shortestPathLength,0.039219040603392,1000,two_sample_t_p_value,1000.0,3.0,,0.0027667090442381925,0.0003530203586512,-0.04723329095576181,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,1000,two_sample_t_p_value,1000.0,4.0,,6.800991920878163e-05,1.1092453721419592e-05,-0.04993199008079122,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,1000,two_sample_t_p_value,1000.0,5.0,,6.767256364648635e-07,1.3428695458350266e-07,-0.04999932327436354,0.0,significant
0.05,avg_shortestPathLength,0.039219040603392,1000,two_sample_t_p_value,1000.0,6.0,,2.7553691733774752e-09,6.423487319043024e-10,-0.04999999724463083,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0221256834898545,0.5707230048851272,7.994544670776344e-256,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0151367910306866,0.2753086154260302,1.281708689054123e-159,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.003615903699697,0.004625044962983091,0.09787849557409066,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0004311601962054,-0.044610035934348057,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,3.33728793760059e-05,-0.04961815436391625,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,2.0917914456968708e-06,-0.049976703314532994,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.2393930854383617e-07,-0.049998605723123285,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0222317254502218,0.5692685675117714,9.579513961788888e-253,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0152371367534402,0.27212564510024434,6.9728639453894e-154,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0035473331740998,0.0009470687376932352,0.40264395815901693,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0003708656061453,-0.04579829681293176,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,2.1260452298583457e-05,-0.04979080975363597,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,8.163579743278185e-07,-0.04999256678775277,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,2.490189222379092e-08,-0.049999781106051494,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0222849833733119,0.5685389578679418,3.247180984347744e-251,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.0152877287992152,0.2705260061237414,4.619375918542523e-151,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.0035109933546428,-0.0008786171051448702,0.3930543223050482,significant
0.1,avg_shortestPathLength,0.0318008707364405,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.0003409153892547,-0.04633692255886502,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,1.6281205887553384e-05,-0.04985282819677832,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,4.521259939305229e-07,-0.04999634208758953,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,75,two_sample_t_p_value,75.0,6.0,,6.480298590623212e-08,8.57010775722057e-09,-0.049999935197014095,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,100,two_sample_t_p_value,100.0,0.5,,0.6181735658308866,0.0223116711173738,0.5681735658308865,1.880587872624361e-250,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,100,two_sample_t_p_value,100.0,1.0,,0.31972415578412333,0.0153131303319361,0.26972415578412334,1.1574971423775477e-149,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,100,two_sample_t_p_value,100.0,2.0,,0.04821217873113365,0.0034922853355013,-0.0017878212688663547,0.2984660740874272,significant
0.1,avg_shortestPathLength,0.0318008707364405,100,two_sample_t_p_value,100.0,3.0,,0.0034079153433294465,0.0003260282320137,-0.04659208465667056,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,100,two_sample_t_p_value,100.0,4.0,,0.00012152364430076177,1.4065814930647166e-05,-0.04987847635569924,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,100,two_sample_t_p_value,100.0,5.0,,2.450173413503802e-06,3.2310055051231444e-07,-0.049997549826586496,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,100,two_sample_t_p_value,100.0,6.0,,3.172491502802852e-08,4.5664476390757935e-09,-0.049999968275084974,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,300,two_sample_t_p_value,300.0,0.5,,0.617441622554225,0.0223651635112199,0.5674416225542249,6.241028940863765e-249,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,300,two_sample_t_p_value,300.0,1.0,,0.31811640443062633,0.0153641454546592,0.26811640443062634,6.888294590497821e-147,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,300,two_sample_t_p_value,300.0,2.0,,0.0464015209831491,0.0034537560906649,-0.0035984790168509043,0.1490163533897828,significant
0.1,avg_shortestPathLength,0.0318008707364405,300,two_sample_t_p_value,300.0,3.0,,0.0029262198640661076,0.0002964932724371,-0.0470737801359339,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,300,two_sample_t_p_value,300.0,4.0,,7.984004483719462e-05,1.018263233257925e-05,-0.04992015995516281,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,300,two_sample_t_p_value,300.0,5.0,,9.769154730247779e-07,1.4870315042967945e-07,-0.04999902308452698,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,300,two_sample_t_p_value,300.0,6.0,,5.676439092359154e-09,9.92441119010777e-10,-0.04999999432356091,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,500,two_sample_t_p_value,500.0,0.5,,0.6172950500946657,0.0223758806224718,0.5672950500946656,1.2551868266408873e-248,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,500,two_sample_t_p_value,500.0,1.0,,0.3177942072606085,0.0153743825225221,0.2677942072606085,2.450795714513219e-146,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,500,two_sample_t_p_value,500.0,2.0,,0.046040682769031456,0.0034458679639546,-0.003959317230968547,0.12661640772438143,significant
0.1,avg_shortestPathLength,0.0318008707364405,500,two_sample_t_p_value,500.0,3.0,,0.002834491812851143,0.0002906320710627,-0.04716550818714886,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,500,two_sample_t_p_value,500.0,4.0,,7.291606940371305e-05,9.49287483048425e-06,-0.04992708393059629,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,500,two_sample_t_p_value,500.0,5.0,,7.94641504790956e-07,1.248080244405965e-07,-0.04999920535849521,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,500,two_sample_t_p_value,500.0,6.0,,3.790442338479296e-09,6.924177526133092e-10,-0.04999999620955766,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,1000,two_sample_t_p_value,1000.0,0.5,,0.6171850808338747,0.0223839225190929,0.5671850808338746,2.119020371757547e-248,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,1000,two_sample_t_p_value,1000.0,1.0,,0.31755241808467255,0.0153820677903726,0.26755241808467256,6.337086683525602e-146,non-significant
0.1,avg_shortestPathLength,0.0318008707364405,1000,two_sample_t_p_value,1000.0,2.0,,0.04577034649325166,0.0034399112548829,-0.0042296535067483446,0.11145530869860099,significant
0.1,avg_shortestPathLength,0.0318008707364405,1000,two_sample_t_p_value,1000.0,3.0,,0.0027667090442381925,0.0002862475629204,-0.04723329095576181,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,1000,two_sample_t_p_value,1000.0,4.0,,6.800991920878163e-05,8.994347682087462e-06,-0.04993199008079122,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,1000,two_sample_t_p_value,1000.0,5.0,,6.767256364648635e-07,1.088869594614938e-07,-0.04999932327436354,0.0,significant
0.1,avg_shortestPathLength,0.0318008707364405,1000,two_sample_t_p_value,1000.0,6.0,,2.7553691733774752e-09,5.208502981390746e-10,-0.04999999724463083,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0193077130705077,0.5707230048851272,0.0,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0132089396543498,0.2753086154260302,5.641364245597511e-209,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0031553751167212,0.004625044962983091,0.06832959689368134,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0003762467884698,-0.044610035934348057,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,2.9122444042194145e-05,-0.04961815436391625,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,1.825376786908168e-06,-0.049976703314532994,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.0815415526570253e-07,-0.049998605723123285,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0194002493189425,0.5692685675117714,0.0,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0132965051491589,0.27212564510024434,1.913810213272978e-201,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0030955378676739,0.0009470687376932352,0.38647570093449357,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0003236314355873,-0.04579829681293176,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,1.8552679419756317e-05,-0.04979080975363597,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,7.123850225178321e-07,-0.04999256678775277,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,2.1730338418251693e-08,-0.049999781106051494,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0194467242085532,0.5685389578679418,0.0,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.0133406536928151,0.2705260061237414,9.680497291433856e-198,non-significant
0.2,avg_shortestPathLength,0.0277506495043664,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.0030638263588552,-0.0008786171051448702,0.3802527391308239,significant
0.2,avg_shortestPathLength,0.0277506495043664,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.0002974957370274,-0.04633692255886502,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,1.4207599591799496e-05,-0.04985282819677832,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,3.945423411001734e-07,-0.04999634208758953,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,75,two_sample_t_p_value,75.0,6.0,,6.480298590623212e-08,7.478602034401394e-09,-0.049999935197014095,0.0,significant
0.2,avg_shortestPathLength,0.0277506495043664,100,two_sample_t_p_value,100.0,0.5,,0.6181735658308866,0.0194700129492189,0.5681735658308865,0.0,non-significant
