Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
avg_shortestPathLength,2.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.039219040603392,two_sample_t_p_value,50.0,,0.0043748174363465,0.4244339925892486,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.039219040603392,ancova_p_value,,50.0,0.0043748174363465,0.4244339925892486,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.033265867672949,two_sample_t_p_value,50.0,,0.0037107510967065,0.4076223133439378,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.033265867672949,ancova_p_value,,50.0,0.0037107510967065,0.4076223133439378,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.0318008707364405,two_sample_t_p_value,50.0,,0.0035473331740998,0.40264395815901693,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.0318008707364405,ancova_p_value,,50.0,0.0035473331740998,0.40264395815901693,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0277506495043664,two_sample_t_p_value,50.0,,0.0030955378676739,0.38647570093449357,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0277506495043664,ancova_p_value,,50.0,0.0030955378676739,0.38647570093449357,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.3,0.05094706873769324,0.0009470687376932352,0.0241110187938018,two_sample_t_p_value,50.0,,0.0026895432372733,0.3678705083916581,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.3,0.05094706873769324,0.0009470687376932352,0.0241110187938018,ancova_p_value,,50.0,0.0026895432372733,0.3678705083916581,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.022590119386187,two_sample_t_p_value,50.0,,0.0025198894888645,0.3585259625682683,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.022590119386187,ancova_p_value,,50.0,0.0025198894888645,0.3585259625682683,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,30,0.05,0.054625044962983094,0.004625044962983091,0.039219040603392,two_sample_t_p_value,30.0,,0.0044593833669425,0.14915234482086795,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,30,0.05,0.054625044962983094,0.004625044962983091,0.039219040603392,ancova_p_value,,30.0,0.0044593833669425,0.14915234482086795,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,30,0.5,0.054625044962983094,0.004625044962983091,0.033265867672949,two_sample_t_p_value,30.0,,0.0037824805172523,0.10844306744095301,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,30,0.5,0.054625044962983094,0.004625044962983091,0.033265867672949,ancova_p_value,,30.0,0.0037824805172523,0.10844306744095301,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,75,0.05,0.04912138289485513,-0.0008786171051448702,0.039219040603392,two_sample_t_p_value,75.0,,0.004330000649202,0.40921851879597215,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,75,0.05,0.04912138289485513,-0.0008786171051448702,0.039219040603392,ancova_p_value,,75.0,0.004330000649202,0.40921851879597215,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,75,0.5,0.04912138289485513,-0.0008786171051448702,0.033265867672949,two_sample_t_p_value,75.0,,0.0036727371808193,0.39687419852080263,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,75,0.5,0.04912138289485513,-0.0008786171051448702,0.033265867672949,ancova_p_value,,75.0,0.0036727371808192,0.3968741985208002,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,75,0.1,0.04912138289485513,-0.0008786171051448702,0.0318008707364405,two_sample_t_p_value,75.0,,0.0035109933546428,0.3930543223050482,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,75,0.1,0.04912138289485513,-0.0008786171051448702,0.0318008707364405,ancova_p_value,,75.0,0.0035109933546428,0.3930543223050482,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,75,0.2,0.04912138289485513,-0.0008786171051448702,0.0277506495043664,two_sample_t_p_value,75.0,,0.0030638263588552,0.3802527391308239,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,75,0.2,0.04912138289485513,-0.0008786171051448702,0.0277506495043664,ancova_p_value,,75.0,0.0030638263588551,0.38025273913082047,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,75,0.3,0.04912138289485513,-0.0008786171051448702,0.0241110187938018,two_sample_t_p_value,75.0,,0.0026619908448514,0.36493979518010855,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,75,0.3,0.04912138289485513,-0.0008786171051448702,0.0241110187938018,ancova_p_value,,75.0,0.0026619908448513,0.36493979518010633,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,75,0.4,0.04912138289485513,-0.0008786171051448702,0.022590119386187,two_sample_t_p_value,75.0,,0.0024940750743219,0.35706846934674874,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,75,0.4,0.04912138289485513,-0.0008786171051448702,0.022590119386187,ancova_p_value,,75.0,0.0024940750743219,0.35706846934674874,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.05,0.04821217873113365,-0.0017878212688663547,0.039219040603392,two_sample_t_p_value,100.0,,0.0043069286217598,0.33054380522422644,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.05,0.04821217873113365,-0.0017878212688663547,0.039219040603392,ancova_p_value,,100.0,0.0043069286217596,0.33054380522421956,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.5,0.04821217873113365,-0.0017878212688663547,0.033265867672949,two_sample_t_p_value,100.0,,0.0036531673239326,0.3058738342238634,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.5,0.04821217873113365,-0.0017878212688663547,0.033265867672949,ancova_p_value,,100.0,0.0036531673239325,0.3058738342238594,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.1,0.04821217873113365,-0.0017878212688663547,0.0318008707364405,two_sample_t_p_value,100.0,,0.0034922853355013,0.2984660740874272,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.1,0.04821217873113365,-0.0017878212688663547,0.0318008707364405,ancova_p_value,,100.0,0.0034922853355012,0.29846607408742254,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.2,0.04821217873113365,-0.0017878212688663547,0.0277506495043664,two_sample_t_p_value,100.0,,0.0030475010297024,0.2743276959630472,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.2,0.04821217873113365,-0.0017878212688663547,0.0277506495043664,ancova_p_value,,100.0,0.0030475010297023,0.2743276959630431,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.3,0.04821217873113365,-0.0017878212688663547,0.0241110187938018,two_sample_t_p_value,100.0,,0.0026478066608756,0.24676335901433322,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.3,0.04821217873113365,-0.0017878212688663547,0.0241110187938018,ancova_p_value,,100.0,0.0026478066608755,0.2467633590143239,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,100,0.4,0.04821217873113365,-0.0017878212688663547,0.022590119386187,two_sample_t_p_value,100.0,,0.0024807856147537,0.23313586349143145,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,100,0.4,0.04821217873113365,-0.0017878212688663547,0.022590119386187,ancova_p_value,,100.0,0.0024807856147537,0.23313586349143145,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.05,0.0464015209831491,-0.0035984790168509043,0.039219040603392,ancova_p_value,,300.0,0.0042594116833036,0.19664828679789537,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.05,0.0464015209831491,-0.0035984790168509043,0.039219040603392,two_sample_t_p_value,300.0,,0.0042594116833029,0.1966482867978604,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,500,0.05,0.046040682769031456,-0.003959317230968547,0.039219040603392,ancova_p_value,,500.0,0.0042496834980499,0.17455930386385854,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,500,0.05,0.046040682769031456,-0.003959317230968547,0.039219040603392,two_sample_t_p_value,500.0,,0.0042496834980497,0.17455930386384866,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.5,0.0464015209831491,-0.0035984790168509043,0.033265867672949,ancova_p_value,,300.0,0.003612863120602,0.15939960585527801,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,300,0.5,0.0464015209831491,-0.0035984790168509043,0.033265867672949,two_sample_t_p_value,300.0,,0.0036128631206015,0.15939960585524593,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,2.0,1000,0.05,0.04577034649325166,-0.0042296535067483446,0.039219040603392,two_sample_t_p_value,1000.0,,0.0042423372710586,0.15909229230528477,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,1000,0.05,0.04577034649325166,-0.0042296535067483446,0.039219040603392,ancova_p_value,,1000.0,0.0042423372710574,0.1590922923052206,significant,non-significant,significant -> non-significant,false-positive risk
avg_shortestPathLength,4.0,300,0.1,0.0464015209831491,-0.0035984790168509043,0.0318008707364405,ancova_p_value,,300.0,0.0034537560906654,0.14901635338981611,significant,non-significant,significant -> non-significant,false-positive risk
