Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,sigma_p,p_minus_alpha,flip_probability,significance
0.05,avg_shortestPathLength,0.0351138182966801,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0244306904735895,0.5707230048851272,3.807672084003525e-210,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0167137099562903,0.2753086154260302,2.8197595612331103e-131,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0039926009115203,0.004625044962983091,0.12151127116219254,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0004760775549762,-0.044610035934348057,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,3.684959547674512e-05,-0.04961815436391625,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,2.309709861327247e-06,-0.049976703314532994,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.3685104398847528e-07,-0.049998605723123285,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0245477796614617,0.5692685675117714,1.2760898719610017e-207,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0168245094845428,0.27212564510024434,1.4304186833774882e-126,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0039168868533651,0.0009470687376932352,0.41337497191467926,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0004095016018461,-0.04579829681293176,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,2.3475321323898277e-05,-0.04979080975363597,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,9.014044242111028e-07,-0.04999256678775277,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,2.749611877097859e-08,-0.049999781106051494,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0246065858825159,0.5685389578679418,2.2962483115433497e-206,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.0168803721028128,0.2705260061237414,2.9501387632064803e-124,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.003876761228255,-0.0008786171051448702,0.4012022940160733,significant
0.05,avg_shortestPathLength,0.0351138182966801,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.000376431234605,-0.04633692255886502,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,1.7977347536313974e-05,-0.04985282819677832,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,4.992275252353442e-07,-0.04999634208758953,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,75,two_sample_t_p_value,75.0,6.0,,6.480298590623212e-08,9.462923486091155e-09,-0.049999935197014095,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,100,two_sample_t_p_value,100.0,0.5,,0.6181735658308866,0.0246360538993984,0.5681735658308865,9.698528916707354e-206,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,100,two_sample_t_p_value,100.0,1.0,,0.31972415578412333,0.0169084199135728,0.26972415578412334,4.144565051505309e-123,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,100,two_sample_t_p_value,100.0,2.0,,0.04821217873113365,0.0038561042471845,-0.0017878212688663547,0.3143901171522414,significant
0.05,avg_shortestPathLength,0.0351138182966801,100,two_sample_t_p_value,100.0,3.0,,0.0034079153433294465,0.0003599931647595,-0.04659208465667056,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,100,two_sample_t_p_value,100.0,4.0,,0.00012152364430076177,1.553116182770151e-05,-0.04987847635569924,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,100,two_sample_t_p_value,100.0,5.0,,2.450173413503802e-06,3.567604835815452e-07,-0.049997549826586496,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,100,two_sample_t_p_value,100.0,6.0,,3.172491502802852e-08,5.042170511264399e-09,-0.049999968275084974,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,300,two_sample_t_p_value,300.0,0.5,,0.617441622554225,0.0246951190178769,0.5674416225542249,1.7151318272891177e-204,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,300,two_sample_t_p_value,300.0,1.0,,0.31811640443062633,0.0169647496840539,0.26811640443062634,7.82816698720221e-121,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,300,two_sample_t_p_value,300.0,2.0,,0.0464015209831491,0.0038135611069823,-0.0035984790168509043,0.17179488428094258,significant
0.05,avg_shortestPathLength,0.0351138182966801,300,two_sample_t_p_value,300.0,3.0,,0.0029262198640661076,0.0003273813154624,-0.0470737801359339,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,300,two_sample_t_p_value,300.0,4.0,,7.984004483719462e-05,1.1243437466583933e-05,-0.04992015995516281,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,300,two_sample_t_p_value,300.0,5.0,,9.769154730247779e-07,1.641947306288162e-07,-0.04999902308452698,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,300,two_sample_t_p_value,300.0,6.0,,5.676439092359154e-09,1.095831539076873e-09,-0.04999999432356091,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,500,two_sample_t_p_value,500.0,0.5,,0.6172950500946657,0.0247069526151479,0.5672950500946656,3.0423461907881884e-204,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,500,two_sample_t_p_value,500.0,1.0,,0.3177942072606085,0.0169760532280294,0.2677942072606085,2.2173962419487086e-120,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,500,two_sample_t_p_value,500.0,2.0,,0.046040682769031456,0.0038048512118884,-0.003959317230968547,0.14931490277561432,significant
0.05,avg_shortestPathLength,0.0351138182966801,500,two_sample_t_p_value,500.0,3.0,,0.002834491812851143,0.0003209095065057,-0.04716550818714886,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,500,two_sample_t_p_value,500.0,4.0,,7.291606940371305e-05,1.0481822484463896e-05,-0.04992708393059629,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,500,two_sample_t_p_value,500.0,5.0,,7.94641504790956e-07,1.37810260872915e-07,-0.04999920535849521,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,500,two_sample_t_p_value,500.0,6.0,,3.790442338479296e-09,7.64552371919762e-10,-0.04999999620955766,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,1000,two_sample_t_p_value,1000.0,0.5,,0.6171850808338747,0.0247158322995771,0.5671850808338746,4.674754426678444e-204,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,1000,two_sample_t_p_value,1000.0,1.0,,0.31755241808467255,0.0169845391308558,0.26755241808467256,4.834072923672955e-120,non-significant
0.05,avg_shortestPathLength,0.0351138182966801,1000,two_sample_t_p_value,1000.0,2.0,,0.04577034649325166,0.0037982739454443,-0.0042296535067483446,0.13382592803552318,significant
0.05,avg_shortestPathLength,0.0351138182966801,1000,two_sample_t_p_value,1000.0,3.0,,0.0027667090442381925,0.0003160682295639,-0.04723329095576181,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,1000,two_sample_t_p_value,1000.0,4.0,,6.800991920878163e-05,9.931359830474114e-06,-0.04993199008079122,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,1000,two_sample_t_p_value,1000.0,5.0,,6.767256364648635e-07,1.202305729643938e-07,-0.04999932327436354,0.0,significant
0.05,avg_shortestPathLength,0.0351138182966801,1000,two_sample_t_p_value,1000.0,6.0,,2.7553691733774752e-09,5.751113823329932e-10,-0.04999999724463083,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0212648039532587,0.5707230048851272,8.295320505249885e-277,non-significant
0.1,avg_shortestPathLength,0.030563543135895,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0145478395682822,0.2753086154260302,1.2260774625672833e-172,non-significant
0.1,avg_shortestPathLength,0.030563543135895,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0034752139215575,0.004625044962983091,0.08886254275504894,non-significant
0.1,avg_shortestPathLength,0.030563543135895,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0004143843533223,-0.044610035934348057,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,3.207438710817343e-05,-0.04961815436391625,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,2.010402753173434e-06,-0.049976703314532994,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.1911700262256822e-07,-0.049998605723123285,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0213667199686018,0.5692685675117714,1.784872210585758e-273,non-significant
0.1,avg_shortestPathLength,0.030563543135895,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0146442809786857,0.27212564510024434,1.9839876834818212e-166,non-significant
0.1,avg_shortestPathLength,0.030563543135895,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0034093113796332,0.0009470687376932352,0.3981106841162424,non-significant
0.1,avg_shortestPathLength,0.030563543135895,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0003564357418066,-0.04579829681293176,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,2.043323770288453e-05,-0.04979080975363597,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,7.84594622250677e-07,-0.04999256678775277,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,2.393299427097484e-08,-0.049999781106051494,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0214179057000612,0.5685389578679418,8.093370438682694e-272,non-significant
0.1,avg_shortestPathLength,0.030563543135895,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.0146929045584045,0.2705260061237414,2.2467500685498414e-163,non-significant
0.1,avg_shortestPathLength,0.030563543135895,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.0033743854919514,-0.0008786171051448702,0.3895221191940109,significant
0.1,avg_shortestPathLength,0.030563543135895,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.0003276508461523,-0.04633692255886502,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,1.5647726836561567e-05,-0.04985282819677832,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,4.345344010508582e-07,-0.04999634208758953,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,75,two_sample_t_p_value,75.0,6.0,,6.480298590623212e-08,8.236656797479805e-09,-0.049999935197014095,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,100,two_sample_t_p_value,100.0,0.5,,0.6181735658308866,0.021443555061162,0.5681735658308865,5.418843707312757e-271,non-significant
0.1,avg_shortestPathLength,0.030563543135895,100,two_sample_t_p_value,100.0,1.0,,0.31972415578412333,0.0147173177528565,0.26972415578412334,7.344294409081773e-162,non-significant
0.1,avg_shortestPathLength,0.030563543135895,100,two_sample_t_p_value,100.0,2.0,,0.04821217873113365,0.0033564053757855,-0.0017878212688663547,0.2917023453165598,significant
0.1,avg_shortestPathLength,0.030563543135895,100,two_sample_t_p_value,100.0,3.0,,0.0034079153433294465,0.0003133429274706,-0.04659208465667056,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,100,two_sample_t_p_value,100.0,4.0,,0.00012152364430076177,1.3518533657058908e-05,-0.04987847635569924,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,100,two_sample_t_p_value,100.0,5.0,,2.450173413503802e-06,3.10529157979901e-07,-0.049997549826586496,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,100,two_sample_t_p_value,100.0,6.0,,3.172491502802852e-08,4.3887735198008214e-09,-0.049999968275084974,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,300,two_sample_t_p_value,300.0,0.5,,0.617441622554225,0.0214949661404468,0.5674416225542249,2.401421000800689e-269,non-significant
0.1,avg_shortestPathLength,0.030563543135895,300,two_sample_t_p_value,300.0,1.0,,0.31811640443062633,0.0147663479481884,0.26811640443062634,7.405158796717731e-159,non-significant
0.1,avg_shortestPathLength,0.030563543135895,300,two_sample_t_p_value,300.0,2.0,,0.0464015209831491,0.0033193752502172,-0.0035984790168509043,0.1398610217614451,significant
0.1,avg_shortestPathLength,0.030563543135895,300,two_sample_t_p_value,300.0,3.0,,0.0029262198640661076,0.0002849571320464,-0.0470737801359339,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,300,two_sample_t_p_value,300.0,4.0,,7.984004483719462e-05,9.786440286904545e-06,-0.04992015995516281,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,300,two_sample_t_p_value,300.0,5.0,,9.769154730247779e-07,1.4291731790202245e-07,-0.04999902308452698,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,300,two_sample_t_p_value,300.0,6.0,,5.676439092359154e-09,9.538266169537259e-10,-0.04999999432356091,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,500,two_sample_t_p_value,500.0,0.5,,0.6172950500946657,0.0215052662638225,0.5672950500946656,5.1165725365684607e-269,non-significant
0.1,avg_shortestPathLength,0.030563543135895,500,two_sample_t_p_value,500.0,1.0,,0.3177942072606085,0.0147761867059949,0.2677942072606085,2.925637192885967e-158,non-significant
0.1,avg_shortestPathLength,0.030563543135895,500,two_sample_t_p_value,500.0,2.0,,0.046040682769031456,0.0033117940395337,-0.003959317230968547,0.11762746601374663,significant
0.1,avg_shortestPathLength,0.030563543135895,500,two_sample_t_p_value,500.0,3.0,,0.002834491812851143,0.0002793239818563,-0.04716550818714886,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,500,two_sample_t_p_value,500.0,4.0,,7.291606940371305e-05,9.123520288791704e-06,-0.04992708393059629,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,500,two_sample_t_p_value,500.0,5.0,,7.94641504790956e-07,1.1995191799339318e-07,-0.04999920535849521,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,500,two_sample_t_p_value,500.0,6.0,,3.790442338479296e-09,6.65476741987635e-10,-0.04999999620955766,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,1000,two_sample_t_p_value,1000.0,0.5,,0.6171850808338747,0.0215129952614437,0.5671850808338746,9.019583230491614e-269,non-significant
0.1,avg_shortestPathLength,0.030563543135895,1000,two_sample_t_p_value,1000.0,1.0,,0.31755241808467255,0.0147835729507744,0.26755241808467256,8.181891594158054e-158,non-significant
0.1,avg_shortestPathLength,0.030563543135895,1000,two_sample_t_p_value,1000.0,2.0,,0.04577034649325166,0.0033060690977178,-0.0042296535067483446,0.10270180224218406,significant
0.1,avg_shortestPathLength,0.030563543135895,1000,two_sample_t_p_value,1000.0,3.0,,0.0027667090442381925,0.0002751100688208,-0.04723329095576181,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,1000,two_sample_t_p_value,1000.0,4.0,,6.800991920878163e-05,8.644390137585492e-06,-0.04993199008079122,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,1000,two_sample_t_p_value,1000.0,5.0,,6.767256364648635e-07,1.0465031948399785e-07,-0.04999932327436354,0.0,significant
0.1,avg_shortestPathLength,0.030563543135895,1000,two_sample_t_p_value,1000.0,6.0,,2.7553691733774752e-09,5.00584738274975e-10,-0.04999999724463083,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0219688429230693,0.5707230048851272,1.831000481640381e-259,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0150294920681189,0.2753086154260302,7.06785635924495e-162,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0035902719317129,0.004625044962983091,0.09624083528081141,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0004281038653319,-0.044610035934348057,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,3.3136311709339725e-05,-0.04961815436391625,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,2.076963530613926e-06,-0.049976703314532994,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.2306074985850096e-07,-0.049998605723123285,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0220741331922549,0.5692685675117714,2.4284964795881558e-256,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0151291264781558,0.27212564510024434,4.645455369205384e-156,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.0035221874765282,0.0009470687376932352,0.40184161436809734,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0003682366807204,-0.04579829681293176,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,2.110974502709284e-05,-0.04979080975363597,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,8.105711227057224e-07,-0.04999256678775277,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,2.4725372167712385e-08,-0.049999781106051494,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0221270135901559,0.5685389578679418,8.658039165672491e-255,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.0151793598961335,0.2705260061237414,3.3774652731178313e-153,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.0034861052562492,-0.0008786171051448702,0.3924327458148805,significant
0.2,avg_shortestPathLength,0.0315754464419614,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.0003384987695421,-0.04633692255886502,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,1.6165794602721327e-05,-0.04985282819677832,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,4.48921044479857e-07,-0.04999634208758953,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,75,two_sample_t_p_value,75.0,6.0,,6.480298590623212e-08,8.50935751831068e-09,-0.049999935197014095,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,100,two_sample_t_p_value,100.0,0.5,,0.6181735658308866,0.0221535121549363,0.5681735658308865,5.142014805390027e-254,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,100,two_sample_t_p_value,100.0,1.0,,0.31972415578412333,0.0152045813670366,0.26972415578412334,8.862488479458198e-152,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,100,two_sample_t_p_value,100.0,2.0,,0.04821217873113365,0.00346752985115,-0.0017878212688663547,0.2972699263745975,significant
0.2,avg_shortestPathLength,0.0315754464419614,100,two_sample_t_p_value,100.0,3.0,,0.0034079153433294465,0.0003237171417046,-0.04659208465667056,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,100,two_sample_t_p_value,100.0,4.0,,0.00012152364430076177,1.3966107710889144e-05,-0.04987847635569924,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,100,two_sample_t_p_value,100.0,5.0,,2.450173413503802e-06,3.208102134253621e-07,-0.049997549826586496,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,100,two_sample_t_p_value,100.0,6.0,,3.172491502802852e-08,4.534077826128035e-09,-0.049999968275084974,0.0,significant
0.2,avg_shortestPathLength,0.0315754464419614,300,two_sample_t_p_value,300.0,0.5,,0.617441622554225,0.0222066253615192,0.5674416225542249,1.7942504928811345e-252,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,300,two_sample_t_p_value,300.0,1.0,,0.31811640443062633,0.0152552348629306,0.26811640443062634,5.77922905859802e-149,non-significant
0.2,avg_shortestPathLength,0.0315754464419614,300,two_sample_t_p_value,300.0,2.0,,0.0464015209831491,0.0034292737254966,-0.0035984790168509043,0.14737462533501677,significant
