Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
avg_shortestPathLength,2.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.0351138182966801,two_sample_t_p_value,50.0,,0.0039168868533651,0.41337497191467926,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.0351138182966801,ancova_p_value,,50.0,0.0039168868533651,0.41337497191467926,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.0330051703414683,ancova_p_value,,50.0,0.0036816707517051,0.4067650885182662,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.0330051703414683,two_sample_t_p_value,50.0,,0.003681670751705,0.4067650885182644,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0315754464419614,two_sample_t_p_value,50.0,,0.0035221874765282,0.40184161436809734,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0315754464419614,ancova_p_value,,50.0,0.0035221874765282,0.40184161436809734,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.0309119068207723,two_sample_t_p_value,50.0,,0.0034481707576125,0.39941963869615044,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.0309119068207723,ancova_p_value,,50.0,0.0034481707576125,0.39941963869615044,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.030563543135895,two_sample_t_p_value,50.0,,0.0034093113796332,0.3981106841162424,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.030563543135895,ancova_p_value,,50.0,0.0034093113796332,0.3981106841162424,non-significant,significant,non-significant -> significant,false-negative risk
