Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,uncertainty
0.05,avg_shortestPathLength,0.0351138182966801,30,cohens_d,,,,,0.01282175357415288
0.05,avg_shortestPathLength,0.0351138182966801,50,cohens_d,,,,,0.009931687612373907
0.05,avg_shortestPathLength,0.0351138182966801,75,cohens_d,,,,,0.008109188978345543
0.05,avg_shortestPathLength,0.0351138182966801,100,cohens_d,,,,,0.007022763659336021
0.05,avg_shortestPathLength,0.0351138182966801,300,cohens_d,,,,,0.004054594489172772
0.05,avg_shortestPathLength,0.0351138182966801,500,cohens_d,,,,,0.0031406753864381036
0.05,avg_shortestPathLength,0.0351138182966801,1000,cohens_d,,,,,0.0022207928632560635
0.1,avg_shortestPathLength,0.030563543135895,30,cohens_d,,,,,0.011160228008541249
0.1,avg_shortestPathLength,0.030563543135895,50,cohens_d,,,,,0.008644675443391564
0.1,avg_shortestPathLength,0.030563543135895,75,cohens_d,,,,,0.007058347942759086
0.1,avg_shortestPathLength,0.030563543135895,100,cohens_d,,,,,0.006112708627179
0.1,avg_shortestPathLength,0.030563543135895,300,cohens_d,,,,,0.003529173971379543
0.1,avg_shortestPathLength,0.030563543135895,500,cohens_d,,,,,0.0027336864034043324
0.1,avg_shortestPathLength,0.030563543135895,1000,cohens_d,,,,,0.0019330081934846673
0.2,avg_shortestPathLength,0.0315754464419614,30,cohens_d,,,,,0.011529722853038996
0.2,avg_shortestPathLength,0.0315754464419614,50,cohens_d,,,,,0.00893088491924142
0.2,avg_shortestPathLength,0.0315754464419614,75,cohens_d,,,,,0.007292037001219609
0.2,avg_shortestPathLength,0.0315754464419614,100,cohens_d,,,,,0.00631508928839228
0.2,avg_shortestPathLength,0.0315754464419614,300,cohens_d,,,,,0.0036460185006098045
0.2,avg_shortestPathLength,0.0315754464419614,500,cohens_d,,,,,0.0028241937865651824
0.2,avg_shortestPathLength,0.0315754464419614,1000,cohens_d,,,,,0.0019970065778651533
0.3,avg_shortestPathLength,0.0244643192954368,30,cohens_d,,,,,0.008933106354746418
0.3,avg_shortestPathLength,0.0244643192954368,50,cohens_d,,,,,0.006919554428366504
0.3,avg_shortestPathLength,0.0244643192954368,75,cohens_d,,,,,0.005649792532304555
0.3,avg_shortestPathLength,0.0244643192954368,100,cohens_d,,,,,0.00489286385908736
0.3,avg_shortestPathLength,0.0244643192954368,300,cohens_d,,,,,0.0028248962661522777
0.3,avg_shortestPathLength,0.0244643192954368,500,cohens_d,,,,,0.002188155238714258
