Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,sigma_p,p_minus_alpha,flip_probability,significance
0.05,avg_shortestPathLength,0.0369821457609369,30,two_sample_t_p_value,30.0,0.5,,0.6207230048851272,0.0257305926829393,0.5707230048851272,1.2770584132674677e-189,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,30,two_sample_t_p_value,30.0,1.0,,0.3253086154260302,0.0176030089518345,0.2753086154260302,1.5388733285829715e-118,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,30,two_sample_t_p_value,30.0,2.0,,0.054625044962983094,0.0042050382452726,0.004625044962983091,0.13435076950568137,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,30,two_sample_t_p_value,30.0,3.0,,0.005389964065651945,0.0005014085731971,-0.044610035934348057,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,30,two_sample_t_p_value,30.0,4.0,,0.0003818456360837564,3.8810279749080864e-05,-0.04961815436391625,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,30,two_sample_t_p_value,30.0,5.0,,2.32966854670078e-05,2.4326043392767e-06,-0.049976703314532994,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,30,two_sample_t_p_value,30.0,6.0,,1.3942768767204764e-06,1.4413258089897578e-07,-0.049998605723123285,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,50,two_sample_t_p_value,50.0,0.5,,0.6192685675117714,0.0258539119237104,0.5692685675117714,2.4145189862943437e-187,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,50,two_sample_t_p_value,50.0,1.0,,0.32212564510024433,0.0177197038743137,0.27212564510024434,2.688584271057835e-114,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,50,two_sample_t_p_value,50.0,2.0,,0.05094706873769324,0.004125295612011,0.0009470687376932352,0.4186737903370809,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,50,two_sample_t_p_value,50.0,3.0,,0.004201703187068241,0.0004312902630199,-0.04579829681293176,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,50,two_sample_t_p_value,50.0,4.0,,0.00020919024636403336,2.4724390484965247e-05,-0.04979080975363597,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,50,two_sample_t_p_value,50.0,5.0,,7.4332122472325795e-06,9.493661305663304e-07,-0.04999256678775277,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,50,two_sample_t_p_value,50.0,6.0,,2.1889394850799978e-07,2.8959125540172453e-08,-0.049999781106051494,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,75,two_sample_t_p_value,75.0,0.5,,0.6185389578679419,0.0259158470918058,0.5685389578679418,3.26891381872243e-186,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,75,two_sample_t_p_value,75.0,1.0,,0.3205260061237414,0.0177785388171272,0.2705260061237414,3.282527681681031e-112,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,75,two_sample_t_p_value,75.0,2.0,,0.04912138289485513,0.0040830349924442,-0.0008786171051448702,0.4050973389867347,significant
0.05,avg_shortestPathLength,0.0369821457609369,75,two_sample_t_p_value,75.0,3.0,,0.0036630774411349812,0.000396460295759,-0.04633692255886502,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,75,two_sample_t_p_value,75.0,4.0,,0.00014717180322168836,1.893388185146022e-05,-0.04985282819677832,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,75,two_sample_t_p_value,75.0,5.0,,3.657912410473166e-06,5.257903014173448e-07,-0.04999634208758953,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,75,two_sample_t_p_value,75.0,6.0,,6.480298590623212e-08,9.966424406778452e-09,-0.049999935197014095,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,100,two_sample_t_p_value,100.0,0.5,,0.6181735658308866,0.0259468830357304,0.5681735658308865,1.1981011575638675e-185,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,100,two_sample_t_p_value,100.0,1.0,,0.31972415578412333,0.0178080789889489,0.26972415578412334,3.5558177356550624e-111,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,100,two_sample_t_p_value,100.0,2.0,,0.04821217873113365,0.0040612788997723,-0.0017878212688663547,0.3221736831875568,significant
0.05,avg_shortestPathLength,0.0369821457609369,100,two_sample_t_p_value,100.0,3.0,,0.0034079153433294465,0.0003791475931097,-0.04659208465667056,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,100,two_sample_t_p_value,100.0,4.0,,0.00012152364430076177,1.6357540091362312e-05,-0.04987847635569924,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,100,two_sample_t_p_value,100.0,5.0,,2.450173413503802e-06,3.7574290822147547e-07,-0.049997549826586496,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,100,two_sample_t_p_value,100.0,6.0,,3.172491502802852e-08,5.310453087829183e-09,-0.049999968275084974,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,300,two_sample_t_p_value,300.0,0.5,,0.617441622554225,0.026009090876601,0.5674416225542249,1.5968485640288188e-184,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,300,two_sample_t_p_value,300.0,1.0,,0.31811640443062633,0.0178674059400941,0.26811640443062634,4.010440368132826e-109,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,300,two_sample_t_p_value,300.0,2.0,,0.0464015209831491,0.0040164721345611,-0.0035984790168509043,0.18355107472626597,significant
0.05,avg_shortestPathLength,0.0369821457609369,300,two_sample_t_p_value,300.0,3.0,,0.0029262198640661076,0.0003448005405035,-0.0470737801359339,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,300,two_sample_t_p_value,300.0,4.0,,7.984004483719462e-05,1.1841675540096395e-05,-0.04992015995516281,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,300,two_sample_t_p_value,300.0,5.0,,9.769154730247779e-07,1.7293116373694867e-07,-0.04999902308452698,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,300,two_sample_t_p_value,300.0,6.0,,5.676439092359154e-09,1.1541382758537643e-09,-0.04999999432356091,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,0.5,,0.6172950500946657,0.0260215541130242,0.5672950500946656,2.6771357453601483e-184,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,1.0,,0.3177942072606085,0.0178793109202756,0.2677942072606085,1.0253935483888123e-108,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,2.0,,0.046040682769031456,0.0040072988054973,-0.003959317230968547,0.1611983632881211,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,3.0,,0.002834491812851143,0.0003379843811172,-0.04716550818714886,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,4.0,,7.291606940371305e-05,1.1039536734099908e-05,-0.04992708393059629,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,5.0,,7.94641504790956e-07,1.451428355610287e-07,-0.04999920535849521,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,500,two_sample_t_p_value,500.0,6.0,,3.790442338479296e-09,8.052324877149566e-10,-0.04999999620955766,0.0,significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,0.5,,0.6171850808338747,0.0260309062655329,0.5671850808338746,3.943259276586812e-184,non-significant
0.05,avg_shortestPathLength,0.0369821457609369,1000,two_sample_t_p_value,1000.0,1.0,,0.31755241808467255,0.0178882483389461,0.26755241808467256,2.0704404950892737e-108,non-significant
