Threshold,Metric,NPVR
0.05,degree,0.11812140474904806
0.1,degree,0.07543993009301478
0.2,degree,0.05608859018043668
0.3,degree,0.046874631686920916
0.4,degree,0.043915985331972995
0.5,degree,0.04279721106934328
0.05,betweeness,0.06326578722408711
0.1,betweeness,0.06870828266842188
0.2,betweeness,0.09628079558917181
0.3,betweeness,0.12440593294539579
0.4,betweeness,0.1697657738772356
0.5,betweeness,0.18724634641677046
0.05,eigenvec,0.16914963710414882
0.1,eigenvec,0.10985865696473407
0.2,eigenvec,0.0834215094528374
0.3,eigenvec,0.07433702549642163
0.4,eigenvec,0.07272591409053994
0.5,eigenvec,0.07524929955739366
0.05,clusteringcoef,0.04719265357945367
0.1,clusteringcoef,0.04564004764596082
0.2,clusteringcoef,0.054028496731703415
0.3,clusteringcoef,0.06330848336488892
0.4,clusteringcoef,0.08773826493706206
0.5,clusteringcoef,0.11904715122466937
0.05,smallworldness,0.17901404960465742
0.1,smallworldness,0.10979783456960254
0.2,smallworldness,0.041016440093153805
0.3,smallworldness,0.03041503512429916
0.4,smallworldness,0.03537986658614078
0.5,smallworldness,0.039118230034670846
0.05,avg_shortestPathLength,0.03698214576093694
0.1,avg_shortestPathLength,0.031563925033668214
0.2,avg_shortestPathLength,0.03146715250496644
0.3,avg_shortestPathLength,0.024749337841639962
0.4,avg_shortestPathLength,0.029665759311191035
0.5,avg_shortestPathLength,0.03349599247146586
