Threshold,Metric,NPVR
0.05,degree,0.09976916392253077
0.1,degree,0.0649245935644161
0.2,degree,0.04995834804625693
0.3,degree,0.04301137753361237
0.4,degree,0.039883399594659384
0.5,degree,0.04627374032145846
0.05,betweeness,0.05550637526156851
0.1,betweeness,0.05586309305703245
0.2,betweeness,0.07600355511826751
0.3,betweeness,0.10004595710822364
0.4,betweeness,0.1101666834520229
0.5,betweeness,0.11163968419596873
0.05,eigenvec,0.1398679445345351
0.1,eigenvec,0.0905767239637379
0.2,eigenvec,0.07136152399241397
0.3,eigenvec,0.06423818973423492
0.4,eigenvec,0.0617705742838201
0.5,eigenvec,0.05986738946039906
0.05,clusteringcoef,0.044360686223883804
0.1,clusteringcoef,0.04135903975371944
0.2,clusteringcoef,0.04533692119768555
0.3,clusteringcoef,0.05194694168795842
0.4,clusteringcoef,0.07079512877543491
0.5,clusteringcoef,0.0773808621205257
0.05,smallworldness,0.14172132369645268
0.1,smallworldness,0.09886646620787808
0.2,smallworldness,0.04047464059054675
0.3,smallworldness,0.023168802502400766
0.4,smallworldness,0.028089923471353063
0.5,smallworldness,0.02439508859403954
0.05,avg_shortestPathLength,0.039219040603392034
0.1,avg_shortestPathLength,0.0318008707364405
0.2,avg_shortestPathLength,0.027750649504366457
0.3,avg_shortestPathLength,0.024111018793801845
0.4,avg_shortestPathLength,0.022590119386187053
0.5,avg_shortestPathLength,0.03326586767294907
