Metric,statistic,n,Threshold,p_value,p_minus_alpha,NPVR,formula,df,df2,sigma_p,flip_probability,significance,possible_numerical_outcome,flip_direction,risk_type
avg_shortestPathLength,2.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.0369821457609369,two_sample_t_p_value,50.0,,0.004125295612011,0.4186737903370809,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.05,0.05094706873769324,0.0009470687376932352,0.0369821457609369,ancova_p_value,,50.0,0.004125295612011,0.4186737903370809,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.0334959924714658,two_sample_t_p_value,50.0,,0.0037364211275282,0.4083691911870366,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.5,0.05094706873769324,0.0009470687376932352,0.0334959924714658,ancova_p_value,,50.0,0.0037364211275282,0.4083691911870366,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.0315639250336682,ancova_p_value,,50.0,0.0035209022829815,0.40180033323406983,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.1,0.05094706873769324,0.0009470687376932352,0.0315639250336682,two_sample_t_p_value,50.0,,0.0035209022829814,0.4018003332340674,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0314671525049664,ancova_p_value,,50.0,0.0035101074715988,0.4014525375916153,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.2,0.05094706873769324,0.0009470687376932352,0.0314671525049664,two_sample_t_p_value,50.0,,0.0035101074715987,0.40145253759161226,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,4.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.029665759311191,ancova_p_value,,50.0,0.0033091651172577,0.3946114036326395,non-significant,significant,non-significant -> significant,false-negative risk
avg_shortestPathLength,2.0,50,0.4,0.05094706873769324,0.0009470687376932352,0.029665759311191,two_sample_t_p_value,50.0,,0.0033091651172576,0.3946114036326354,non-significant,significant,non-significant -> significant,false-negative risk
