Threshold,Metric,NPVR,n,formula,df,statistic,df2,p_value,uncertainty
0.05,avg_shortestPathLength,0.0369821457609369,30,cohens_d,,,,,0.013503970305472795
0.05,avg_shortestPathLength,0.0369821457609369,50,cohens_d,,,,,0.010460130420155126
0.05,avg_shortestPathLength,0.0369821457609369,75,cohens_d,,,,,0.008540660724114756
0.05,avg_shortestPathLength,0.0369821457609369,100,cohens_d,,,,,0.00739642915218738
0.05,avg_shortestPathLength,0.0369821457609369,300,cohens_d,,,,,0.004270330362057378
0.05,avg_shortestPathLength,0.0369821457609369,500,cohens_d,,,,,0.0033077836750104238
0.05,avg_shortestPathLength,0.0369821457609369,1000,cohens_d,,,,,0.0023389562672980293
0.1,avg_shortestPathLength,0.0315639250336682,30,cohens_d,,,,,0.011525515829561388
0.1,avg_shortestPathLength,0.0315639250336682,50,cohens_d,,,,,0.008927626172868243
0.1,avg_shortestPathLength,0.0315639250336682,75,cohens_d,,,,,0.0072893762459478
0.1,avg_shortestPathLength,0.0315639250336682,100,cohens_d,,,,,0.00631278500673364
0.1,avg_shortestPathLength,0.0315639250336682,300,cohens_d,,,,,0.0036446881229739
0.1,avg_shortestPathLength,0.0315639250336682,500,cohens_d,,,,,0.002823163280479577
0.1,avg_shortestPathLength,0.0315639250336682,1000,cohens_d,,,,,0.001996277900023968
0.2,avg_shortestPathLength,0.0314671525049664,30,cohens_d,,,,,0.011490179498283527
0.2,avg_shortestPathLength,0.0314671525049664,50,cohens_d,,,,,0.008900254768357199
0.2,avg_shortestPathLength,0.0314671525049664,75,cohens_d,,,,,0.007267027587749342
0.2,avg_shortestPathLength,0.0314671525049664,100,cohens_d,,,,,0.006293430500993281
0.2,avg_shortestPathLength,0.0314671525049664,300,cohens_d,,,,,0.003633513793874671
0.2,avg_shortestPathLength,0.0314671525049664,500,cohens_d,,,,,0.0028145076823783066
0.2,avg_shortestPathLength,0.0314671525049664,1000,cohens_d,,,,,0.001990157467911334
0.3,avg_shortestPathLength,0.0247493378416399,30,cohens_d,,,,,0.009037180412788262
0.3,avg_shortestPathLength,0.0247493378416399,50,cohens_d,,,,,0.007000169847080162
0.3,avg_shortestPathLength,0.0247493378416399,75,cohens_d,,,,,0.005715614746054315
0.3,avg_shortestPathLength,0.0247493378416399,100,cohens_d,,,,,0.00494986756832798
0.3,avg_shortestPathLength,0.0247493378416399,300,cohens_d,,,,,0.0028578073730271573
0.3,avg_shortestPathLength,0.0247493378416399,500,cohens_d,,,,,0.0022136480724805896
0.3,avg_shortestPathLength,0.0247493378416399,1000,cohens_d,,,,,0.001565285563211555
0.4,avg_shortestPathLength,0.029665759311191,30,cohens_d,,,,,0.01083240370683882
0.4,avg_shortestPathLength,0.029665759311191,50,cohens_d,,,,,0.008390743831196448
0.4,avg_shortestPathLength,0.029665759311191,75,cohens_d,,,,,0.006851013649612307
0.4,avg_shortestPathLength,0.029665759311191,100,cohens_d,,,,,0.0059331518622382
0.4,avg_shortestPathLength,0.029665759311191,300,cohens_d,,,,,0.0034255068248061535
0.4,avg_shortestPathLength,0.029665759311191,500,cohens_d,,,,,0.0026533861769588167
0.4,avg_shortestPathLength,0.029665759311191,1000,cohens_d,,,,,0.0018762273588342276
0.5,avg_shortestPathLength,0.0334959924714658,30,cohens_d,,,,,0.012231007108430024
0.5,avg_shortestPathLength,0.0334959924714658,50,cohens_d,,,,,0.009474097367658803
0.5,avg_shortestPathLength,0.0334959924714658,75,cohens_d,,,,,0.007735568108069781
0.5,avg_shortestPathLength,0.0334959924714658,100,cohens_d,,,,,0.00669919849429316
0.5,avg_shortestPathLength,0.0334959924714658,300,cohens_d,,,,,0.0038677840540348907
0.5,avg_shortestPathLength,0.0334959924714658,500,cohens_d,,,,,0.0029959726456007486
0.5,avg_shortestPathLength,0.0334959924714658,1000,cohens_d,,,,,0.0021184725739536903
0.05,betweeness,0.0632657872240871,30,cohens_d,,,,,0.0231013991873031
0.05,betweeness,0.0632657872240871,50,cohens_d,,,,,0.01789426686530289
0.05,betweeness,0.0632657872240871,75,cohens_d,,,,,0.014610607713728107
0.05,betweeness,0.0632657872240871,100,cohens_d,,,,,0.01265315744481742
0.05,betweeness,0.0632657872240871,300,cohens_d,,,,,0.007305303856864054
0.05,betweeness,0.0632657872240871,500,cohens_d,,,,,0.005658664035323859
0.05,betweeness,0.0632657872240871,1000,cohens_d,,,,,0.004001279711833934
0.1,betweeness,0.0687082826684218,30,cohens_d,,,,,0.02508871753662391
0.1,betweeness,0.0687082826684218,50,cohens_d,,,,,0.019433637039409275
0.1,betweeness,0.0687082826684218,75,cohens_d,,,,,0.015867498197668087
0.1,betweeness,0.0687082826684218,100,cohens_d,,,,,0.01374165653368436
0.1,betweeness,0.0687082826684218,300,cohens_d,,,,,0.007933749098834044
0.1,betweeness,0.0687082826684218,500,cohens_d,,,,,0.006145455626554472
0.1,betweeness,0.0687082826684218,1000,cohens_d,,,,,0.0043454933470176895
0.2,betweeness,0.0962807955891718,30,cohens_d,,,,,0.03515677573248886
0.2,betweeness,0.0962807955891718,50,cohens_d,,,,,0.027232321383655684
0.2,betweeness,0.0962807955891718,75,cohens_d,,,,,0.022235097300479865
0.2,betweeness,0.0962807955891718,100,cohens_d,,,,,0.019256159117834362
0.2,betweeness,0.0962807955891718,300,cohens_d,,,,,0.011117548650239933
0.2,betweeness,0.0962807955891718,500,cohens_d,,,,,0.008611616154606002
0.2,betweeness,0.0962807955891718,1000,cohens_d,,,,,0.006089332179897523
0.3,betweeness,0.1244059329453957,30,cohens_d,,,,,0.04542662384111222
0.3,betweeness,0.1244059329453957,50,cohens_d,,,,,0.03518731152221129
0.3,betweeness,0.1244059329453957,75,cohens_d,,,,,0.02873031954992429
0.3,betweeness,0.1244059329453957,100,cohens_d,,,,,0.024881186589079143
0.3,betweeness,0.1244059329453957,300,cohens_d,,,,,0.014365159774962145
0.3,betweeness,0.1244059329453957,500,cohens_d,,,,,0.011127204914807417
0.3,betweeness,0.1244059329453957,1000,cohens_d,,,,,0.007868122050912604
0.4,betweeness,0.1697657738772356,30,cohens_d,,,,,0.061989695896588794
0.4,betweeness,0.1697657738772356,50,cohens_d,,,,,0.04801701196879014
0.4,betweeness,0.1697657738772356,75,cohens_d,,,,,0.039205726098882836
0.4,betweeness,0.1697657738772356,100,cohens_d,,,,,0.03395315477544712
0.4,betweeness,0.1697657738772356,300,cohens_d,,,,,0.019602863049441418
0.4,betweeness,0.1697657738772356,500,cohens_d,,,,,0.015184312425694273
0.4,betweeness,0.1697657738772356,1000,cohens_d,,,,,0.010736930283863575
0.5,betweeness,0.1872463464167704,30,cohens_d,,,,,0.06837269849526119
0.5,betweeness,0.1872463464167704,50,cohens_d,,,,,0.0529612645214815
0.5,betweeness,0.1872463464167704,75,cohens_d,,,,,0.043242691403398516
0.5,betweeness,0.1872463464167704,100,cohens_d,,,,,0.037449269283354084
0.5,betweeness,0.1872463464167704,300,cohens_d,,,,,0.021621345701699258
0.5,betweeness,0.1872463464167704,500,cohens_d,,,,,0.016747822365054912
0.5,betweeness,0.1872463464167704,1000,cohens_d,,,,,0.01184249876443805
0.05,clusteringcoef,0.0471926535794536,30,cohens_d,,,,,0.017232320609329103
0.05,clusteringcoef,0.0471926535794536,50,cohens_d,,,,,0.013348098147287693
0.05,clusteringcoef,0.0471926535794536,75,cohens_d,,,,,0.010898676499148115
0.05,clusteringcoef,0.0471926535794536,100,cohens_d,,,,,0.00943853071589072
0.05,clusteringcoef,0.0471926535794536,300,cohens_d,,,,,0.005449338249574057
